Mühərrikin həcmi,At gücü,Yanacaq növü,Marka,Model,Buraxılış ili,Ban növü,Rəng,Yürüş
1.6,101,Benzin,Opel,Vectra,2000,Hetçbek,Göy,370000
1.8,178,Hibrid,Toyota,Corolla,2023,Sedan,Mavi,0
2.0,184,Dizel,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,168636
1.5,181,Benzin,Ford,Fusion,2015,Sedan,Göy,120873
2.0,173,Benzin,Toyota,RAV4,2022,Offroader / SUV,Qara,0
1.8,184,Benzin,Mercedes,E 200,2007,Sedan,Gümüşü,204000
1.5,170,Benzin,Chevrolet,Equinox,2017,Offroader / SUV,Tünd qırmızı,45000
1.4,90,Benzin,Opel,Astra,2009,Hetçbek,Boz,153896
2.0,184,Dizel,BMW,520,2016,Sedan,Göy,135000
1.6,124,Benzin,Chevrolet,Cruze,2012,Sedan,Ağ,150000
2.0,136,Benzin,Mercedes,C 200,1999,Sedan,Gümüşü,298500
1.7,113,Benzin,Khazar,LX,2023,Sedan,Ağ,0
1.5,65,Benzin,LADA (VAZ),2106,1989,Sedan,Bej,27600
1.4,97,Benzin,Kia,Rio,2011,Sedan,Ağ,389000
1.6,75,Benzin,LADA (VAZ),2107,1991,Sedan,Bej,12000
2.0,200,Benzin,Volkswagen,Passat CC,2012,Sedan,Qara,234000
2.0,122,Benzin,Mercedes,190,1991,Sedan,Qara,500000
1.8,158,Hibrid,Toyota,Corolla,2022,Sedan,Ağ,0
2.0,204,Benzin,Haval,H6,2022,Offroader / SUV,Qara,0
2.5,249,Hibrid,Toyota,Highlander,2022,Offroader / SUV,Qara,0
1.5,76,Hibrid,Toyota,Prius,2005,Liftbek,Qara,296000
1.3,99,Benzin,Honda,Civic,2006,Sedan,Yaş Asfalt,181021
1.7,113,Benzin,Khazar,SD,2022,Sedan,Boz,0
1.5,65,Benzin,LADA (VAZ),2106,1990,Sedan,Ağ,758377
1.4,109,Benzin,Hyundai,i30,2008,Hetçbek,Qara,148334
1.4,109,Benzin,Hyundai,i30,2009,Hetçbek,Qara,171400
2.0,184,Dizel,Kia,Sorento,2011,Offroader / SUV,Ağ,210000
3.0,200,Benzin,Nissan,Maxima,2003,Sedan,Yaş Asfalt,292000
1.2,98,Benzin,Nissan,Note,2013,Hetçbek,Ağ,64000
2.0,163,Benzin,Hyundai,ix35,2012,Offroader / SUV,Ağ,178130
4.0,282,Benzin,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,162500
4.7,435,Benzin,Mercedes,S 500,2013,Sedan,Qara,162500
